route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,bikes_allowed
2006,2006-11-1640022026-POE6#FRS6-00,2006-11-1640022026-POE6#FRS6,,,,,e4c193f53a7b2692a7e41dbbad54db0f,,,
2006,2006-11-1640032026-POE6#FRS6-00,2006-11-1640032026-POE6#FRS6,,,,,e4c193f53a7b2692a7e41dbbad54db0f,,,
2006,2006-11-1640122025-POE6#FRS6-00,2006-11-1640122025-POE6#FRS6,,,,,e4c193f53a7b2692a7e41dbbad54db0f,,,
2006,2006-11-1640122026-POE6#FRS6-00,2006-11-1640122026-POE6#FRS6,,,,,e4c193f53a7b2692a7e41dbbad54db0f,,,
2006,2006-12-1415032026-FRS6#POE6-00,2006-12-1415032026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1415042026-FRS6#POE6-00,2006-12-1415042026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1415052026-FRS6#POE6-00,2006-12-1415052026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1415062026-FRS6#POE6-00,2006-12-1415062026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1515012026-FRS6#POE6-00,2006-12-1515012026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1515022026-FRS6#POE6-00,2006-12-1515022026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1515032026-FRS6#POE6-00,2006-12-1515032026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1515122025-FRS6#POE6-00,2006-12-1515122025-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2006,2006-12-1515122026-FRS6#POE6-00,2006-12-1515122026-FRS6#POE6,,,,,5eb9ae13ae48d8f37e1ae3c89a3a018e,,,
2007,2007-4-1405032026-SAC6#LAD6-00,2007-4-1405032026-SAC6#LAD6,,,,,ad6cb26ff43cd57bc89af2e0189e208e,,,
