service_id,date,exception_type
2421-11-1645032026-MID6#ORL6,20260318,2
2421-11-1645032026-MID6#ORL6,20260320,2
2421-11-1645032026-MID6#ORL6,20260322,2
2421-11-1645032026-MID6#ORL6,20260324,2
2421-11-1645032026-MID6#ORL6,20260325,2
2421-11-1645032026-MID6#ORL6,20260326,2
2421-11-1645032026-MID6#ORL6,20260328,2
2421-11-1645032026-MID6#ORL6,20260330,2
2421-11-1645042026-MID6#ORL6,20260405,2
2421-11-1645042026-MID6#ORL6,20260407,2
2421-11-1645042026-MID6#ORL6,20260411,2
2421-11-1645042026-MID6#ORL6,20260413,2
2421-11-1645042026-MID6#ORL6,20260417,2
2421-11-1645042026-MID6#ORL6,20260419,2
2421-11-1645042026-MID6#ORL6,20260421,2
2421-11-1645042026-MID6#ORL6,20260425,2
2421-11-1645042026-MID6#ORL6,20260427,2
2421-11-1645052026-MID6#ORL6,20260503,2
2421-11-1645052026-MID6#ORL6,20260505,2
2421-11-1645052026-MID6#ORL6,20260509,2
2421-11-1645052026-MID6#ORL6,20260511,2
2421-11-1645052026-MID6#ORL6,20260515,2
2421-11-1645052026-MID6#ORL6,20260517,2
2421-11-1645052026-MID6#ORL6,20260519,2
2421-11-1645052026-MID6#ORL6,20260523,2
2421-11-1645052026-MID6#ORL6,20260525,2
2421-11-1645052026-MID6#ORL6,20260529,2
2421-11-1645062026-MID6#ORL6,20260602,2
2421-11-1645062026-MID6#ORL6,20260606,2
2421-11-1645062026-MID6#ORL6,20260608,2
2421-11-1645062026-MID6#ORL6,20260612,2
2421-11-1745012026-MID6#ORL6,20260103,2
2421-11-1745012026-MID6#ORL6,20260105,2
2421-11-1745012026-MID6#ORL6,20260109,2
2421-11-1745012026-MID6#ORL6,20260111,2
2421-11-1745012026-MID6#ORL6,20260113,2
2421-11-1745012026-MID6#ORL6,20260117,2
2421-11-1745012026-MID6#ORL6,20260119,2
2421-11-1745012026-MID6#ORL6,20260123,2
2421-11-1745012026-MID6#ORL6,20260125,2
2421-11-1745012026-MID6#ORL6,20260127,2
2421-11-1745022026-MID6#ORL6,20260202,2
2421-11-1745022026-MID6#ORL6,20260206,2
2421-11-1745022026-MID6#ORL6,20260208,2
2421-11-1745022026-MID6#ORL6,20260210,2
2421-11-1745022026-MID6#ORL6,20260214,2
2421-11-1745022026-MID6#ORL6,20260216,2
2421-11-1745022026-MID6#ORL6,20260220,2
2421-11-1745022026-MID6#ORL6,20260222,2
2421-11-1745022026-MID6#ORL6,20260224,2
2421-11-1745122025-MID6#ORL6,20251216,2
2421-11-1745122025-MID6#ORL6,20251218,2
2421-11-1745122025-MID6#ORL6,20251220,2
2421-11-1745122025-MID6#ORL6,20251222,2
2421-11-1745122025-MID6#ORL6,20251226,2
2421-5-1800032026-4DM#4OF,20260324,2
2421-5-1900122025-4DM#4OF,20251216,2
2421-6-1620032026-4OF#4DM,20260325,2
2421-6-1720122025-4OF#4DM,20251217,2
2431-1-1435032026-4DM#JAX6,20260324,2
2431-1-1435032026-4DM#JAX6,20260325,2
2431-1-1535012026-4DM#JAX6,20260108,2
2431-1-1535012026-4DM#JAX6,20260115,2
2431-1-1535012026-4DM#JAX6,20260122,2
2431-1-1535012026-4DM#JAX6,20260129,2
2431-1-1535022026-4DM#JAX6,20260205,2
2431-1-1535122025-4DM#JAX6,20251216,2
2431-1-1535122025-4DM#JAX6,20251217,2
2431-13-0005012026-4DM#ORL6,20260108,2
2431-13-0005012026-4DM#ORL6,20260109,2
2431-13-0005012026-4DM#ORL6,20260115,2
2431-13-0005012026-4DM#ORL6,20260116,2
2431-13-0005012026-4DM#ORL6,20260122,2
2431-13-0005012026-4DM#ORL6,20260123,2
2431-13-0005012026-4DM#ORL6,20260129,2
2431-13-0005012026-4DM#ORL6,20260130,2
2431-13-0005022026-4DM#ORL6,20260206,2
2431-13-0005122025-4DM#ORL6,20251217,2
2431-13-0005122025-4DM#ORL6,20251218,2
2431-13-2305032026-4DM#ORL6,20260324,2
2431-13-2305032026-4DM#ORL6,20260325,2
2431-14-0830032026-ORL6#4DM,20260324,2
2431-14-0830032026-ORL6#4DM,20260325,2
2431-14-0930012026-ORL6#4DM,20260108,2
2431-14-0930012026-ORL6#4DM,20260115,2
2431-14-0930012026-ORL6#4DM,20260122,2
2431-14-0930012026-ORL6#4DM,20260129,2
2431-14-0930022026-ORL6#4DM,20260205,2
2431-14-0930122025-ORL6#4DM,20251216,2
2431-14-0930122025-ORL6#4DM,20251217,2
2431-21-0845032026-ORL6#JAX6,20260324,2
2431-21-0845032026-ORL6#JAX6,20260325,2
2431-21-0945012026-ORL6#JAX6,20260108,2
2431-21-0945012026-ORL6#JAX6,20260115,2
2431-21-0945012026-ORL6#JAX6,20260122,2
2431-21-0945012026-ORL6#JAX6,20260129,2
2431-21-0945022026-ORL6#JAX6,20260205,2
2431-21-0945122025-ORL6#JAX6,20251216,2
2431-21-0945122025-ORL6#JAX6,20251217,2
2431-2-1245032026-JAX6#4DM,20260324,2
2431-2-1245032026-JAX6#4DM,20260325,2
2431-2-1345012026-JAX6#4DM,20260108,2
2431-2-1345012026-JAX6#4DM,20260115,2
2431-2-1345012026-JAX6#4DM,20260122,2
2431-2-1345012026-JAX6#4DM,20260129,2
2431-2-1345022026-JAX6#4DM,20260205,2
2431-2-1345122025-JAX6#4DM,20251216,2
2431-2-1345122025-JAX6#4DM,20251217,2
2431-22-0110032026-JAX6#ORL6,20260325,2
2431-22-0110032026-JAX6#ORL6,20260326,2
2431-22-0210012026-JAX6#ORL6,20260108,2
2431-22-0210012026-JAX6#ORL6,20260109,2
2431-22-0210012026-JAX6#ORL6,20260115,2
2431-22-0210012026-JAX6#ORL6,20260116,2
2431-22-0210012026-JAX6#ORL6,20260122,2
2431-22-0210012026-JAX6#ORL6,20260123,2
2431-22-0210012026-JAX6#ORL6,20260129,2
2431-22-0210012026-JAX6#ORL6,20260130,2
2431-22-0210022026-JAX6#ORL6,20260206,2
2431-22-0210122025-JAX6#ORL6,20251217,2
2431-22-0210122025-JAX6#ORL6,20251218,2
2431-3-1200032026-MID6#JAX6,20260324,2
2431-3-1300022026-MID6#JAX6,20260202,2
